floors,layout,per_room_occ,responders,best_ms
2,T,8,9,690.512765316678
2,T,9,1,2463.236977622059
2,T,9,2,1928.3321309953255
2,T,9,3,1185.872470751105
2,T,9,5,966.5703817868332
2,T,9,7,839.9697421683957
2,T,9,9,714.512765316678
2,T,10,1,2607.236977622059
2,T,10,2,2040.3321309953255
2,T,10,3,1241.872470751105
2,T,10,5,1006.5703817868332
2,T,10,7,871.9697421683957
2,T,10,9,738.512765316678
3,BASELINE,1,1,1778.300476854566
3,BASELINE,1,2,1407.5691678377475
3,BASELINE,1,3,1094.6775452343545
3,BASELINE,1,5,985.6258695807314
3,BASELINE,1,7,961.8479818269188
3,BASELINE,1,9,893.4284558098301
3,BASELINE,2,1,1922.300476854566
3,BASELINE,2,2,1503.5691678377475
3,BASELINE,2,3,1142.6775452343545
3,BASELINE,2,5,1017.6258695807314
3,BASELINE,2,7,985.8479818269188
3,BASELINE,2,9,917.42845580983
3,BASELINE,3,1,2066.300476854566
3,BASELINE,3,2,1599.5691678377475
3,BASELINE,3,3,1190.6775452343545
3,BASELINE,3,5,1049.6258695807314
3,BASELINE,3,7,1009.8479818269188
3,BASELINE,3,9,941.42845580983
3,BASELINE,4,1,2210.300476854566
3,BASELINE,4,2,1695.5691678377475
3,BASELINE,4,3,1238.6775452343545
3,BASELINE,4,5,1081.6258695807314
3,BASELINE,4,7,1033.8479818269188
3,BASELINE,4,9,965.42845580983
3,BASELINE,5,1,2354.300476854566
3,BASELINE,5,2,1791.5691678377475
3,BASELINE,5,3,1286.6775452343545
3,BASELINE,5,5,1113.6258695807314
3,BASELINE,5,7,1057.8479818269188
3,BASELINE,5,9,989.42845580983
3,BASELINE,6,1,2498.300476854566
3,BASELINE,6,2,1887.5691678377475
3,BASELINE,6,3,1334.6775452343545
3,BASELINE,6,5,1145.6258695807314
3,BASELINE,6,7,1081.8479818269188
3,BASELINE,6,9,1013.42845580983
3,BASELINE,7,1,2642.300476854566
3,BASELINE,7,2,1983.5691678377475
3,BASELINE,7,3,1382.6775452343545
3,BASELINE,7,5,1177.6258695807314
3,BASELINE,7,7,1105.8479818269188
3,BASELINE,7,9,1037.4284558098302
3,BASELINE,8,1,2786.300476854566
3,BASELINE,8,2,2079.5691678377475
3,BASELINE,8,3,1430.6775452343545
3,BASELINE,8,5,1209.6258695807314
3,BASELINE,8,7,1129.8479818269188
3,BASELINE,8,9,1061.4284558098302
3,BASELINE,9,1,2930.300476854566
3,BASELINE,9,2,2175.5691678377475
3,BASELINE,9,3,1478.6775452343545
3,BASELINE,9,5,1241.6258695807314
3,BASELINE,9,7,1153.8479818269188
3,BASELINE,9,9,1085.4284558098302
3,BASELINE,10,1,3074.300476854566
3,BASELINE,10,2,2271.5691678377475
3,BASELINE,10,3,1526.6775452343545
3,BASELINE,10,5,1273.6258695807314
3,BASELINE,10,7,1177.8479818269188
3,BASELINE,10,9,1109.4284558098302
3,L,1,1,2103.7440467051115
3,L,1,2,1644.784021736328
3,L,1,3,1239.3987473025193
3,L,1,5,1102.1761505605944
3,L,1,7,1047.5740288015213
3,L,1,9,859.8741022894374
3,L,2,1,2319.744046705111
3,L,2,2,1788.784021736328
3,L,2,3,1311.3987473025193
3,L,2,5,1150.1761505605944
3,L,2,7,1087.5740288015213
3,L,2,9,891.8741022894374
3,L,3,1,2535.7440467051115
3,L,3,2,1932.784021736328
3,L,3,3,1383.3987473025195
3,L,3,5,1198.1761505605944
3,L,3,7,1127.5740288015213
3,L,3,9,923.8741022894374
3,L,4,1,2751.744046705112
3,L,4,2,2076.784021736328
3,L,4,3,1455.3987473025195
3,L,4,5,1246.1761505605944
3,L,4,7,1167.5740288015213
3,L,4,9,955.8741022894374
3,L,5,1,2967.744046705112
3,L,5,2,2220.784021736328
3,L,5,3,1527.3987473025195
3,L,5,5,1294.1761505605944
3,L,5,7,1207.5740288015213
3,L,5,9,987.8741022894374
3,L,6,1,3183.744046705112
3,L,6,2,2364.784021736328
3,L,6,3,1599.3987473025195
3,L,6,5,1342.1761505605944
3,L,6,7,1247.5740288015213
3,L,6,9,1019.8741022894374
3,L,7,1,3399.744046705112
3,L,7,2,2508.784021736328
3,L,7,3,1671.3987473025195
3,L,7,5,1390.1761505605944
3,L,7,7,1287.5740288015213
3,L,7,9,1051.8741022894374
3,L,8,1,3615.744046705112
3,L,8,2,2652.7840217363287
3,L,8,3,1743.3987473025195
3,L,8,5,1438.1761505605944
3,L,8,7,1327.5740288015213
3,L,8,9,1083.8741022894374
3,L,9,1,3831.744046705112
3,L,9,2,2796.784021736329
3,L,9,3,1815.3987473025195
3,L,9,5,1486.1761505605944
3,L,9,7,1367.5740288015213
3,L,9,9,1115.8741022894374
3,L,10,1,4047.744046705112
3,L,10,2,2940.784021736329
3,L,10,3,1887.3987473025195
3,L,10,5,1534.1761505605944
3,L,10,7,1407.5740288015213
3,L,10,9,1147.8741022894374
3,T,1,1,2232.5654784514068
3,T,1,2,1798.144304582882
3,T,1,3,1389.6846443386612
3,T,1,5,1193.2015057586616
3,T,1,7,1107.310531884981
