floors,layout,per_room_occ,responders,mean_ms,median_ms,std_ms,best_ms,n
5,BASELINE,10,9,2682.777599490969,2682.777599490969,202.5449901819327,2507.3684925841453,4
3,L,7,2,2508.784021736328,2508.784021736328,0.0,2508.784021736328,2
5,L,2,10,2518.5480021300104,2518.5480021300104,0.0,2518.5480021300104,4
5,L,2,9,2574.330754284437,2574.330754284437,64.41237394499248,2518.5480021300104,4
5,BASELINE,1,6,2530.464995968084,2530.464995968084,0.0,2530.464995968084,4
5,BASELINE,1,5,2619.078253163978,2619.078253163978,102.32177579163744,2530.464995968084,4
4,L,10,6,2531.7564104792687,2531.7564104792687,0.0,2531.7564104792687,4
4,L,10,5,2831.776493597765,2831.776493597765,346.4333515015151,2531.7564104792687,4
3,L,3,1,2601.4030987170854,2601.4030987170854,92.85592184789446,2535.7440467051115,2
5,BASELINE,2,8,2538.186706397792,2538.186706397792,0.0,2538.186706397792,4
5,BASELINE,2,7,2562.325851182938,2562.325851182938,27.873483479422873,2538.186706397792,4
4,T,8,6,2547.9168098355403,2547.9168098355403,0.0,2547.9168098355403,4
4,T,8,5,2751.6371978780226,2751.6371978780226,235.23604175148392,2547.9168098355403,4
2,L,10,1,2552.779893547303,2552.779893547303,4.547473508864641e-13,2552.779893547303,2
5,L,1,8,2558.113506438863,2558.113506438863,0.0,2558.113506438863,4
5,L,1,7,2709.3054189749573,2709.3054189749573,174.58138280401678,2558.113506438863,4
4,L,5,4,2571.796576716261,2571.796576716261,0.0,2571.796576716261,4
4,L,5,3,3059.808923523184,3059.808923523184,563.5081195936763,2571.796576716261,4
5,BASELINE,3,8,2578.186706397792,2578.186706397792,0.0,2578.186706397792,4
5,BASELINE,3,7,2610.325851182938,2610.325851182938,37.111087786456885,2578.186706397792,4
5,L,3,10,2582.5480021300104,2582.5480021300104,0.0,2582.5480021300104,4
5,L,3,9,2642.330754284437,2642.330754284437,69.03117609850948,2582.5480021300104,4
5,BASELINE,2,6,2586.464995968084,2586.464995968084,0.0,2586.464995968084,4
5,BASELINE,2,5,2687.078253163978,2687.078253163978,116.17818225218846,2586.464995968084,4
2,T,10,1,2624.52098190526,2624.52098190526,24.443273269417922,2607.236977622059,2
5,BASELINE,4,8,2618.186706397792,2618.186706397792,0.0,2618.186706397792,4
5,BASELINE,4,7,2658.325851182938,2658.325851182938,46.3486920934909,2618.186706397792,4
4,BASELINE,4,2,2618.5510610486986,2618.5510610486986,0.0,2618.5510610486986,2
4,T,5,4,2619.3575859205043,2619.3575859205043,0.0,2619.3575859205043,4
4,T,5,3,3137.9056914768057,3137.9056914768057,598.7677766614022,2619.3575859205043,4
5,T,1,10,2621.1007366765507,2621.1007366765507,0.0,2621.1007366765507,4
5,T,1,9,2695.6165945918497,2695.6165945918497,86.04350125258752,2621.1007366765507,4
4,T,9,6,2627.9168098355403,2627.9168098355403,0.0,2627.9168098355403,4
4,T,9,5,2847.6371978780226,2847.6371978780226,253.71125036555196,2627.9168098355403,4
5,L,2,8,2630.113506438863,2630.113506438863,0.0,2630.113506438863,4
5,L,2,7,2793.3054189749573,2793.3054189749573,188.4377892645678,2630.113506438863,4
3,T,6,2,2638.144304582882,2638.144304582882,0.0,2638.144304582882,2
3,BASELINE,7,1,2642.320945391428,2642.320945391428,0.028946882431266373,2642.300476854566,2
5,BASELINE,3,6,2642.464995968084,2642.464995968084,0.0,2642.464995968084,4
5,BASELINE,3,5,2755.078253163978,2755.078253163978,130.0345887127395,2642.464995968084,4
5,L,4,10,2646.5480021300104,2646.5480021300104,0.0,2646.5480021300104,4
5,L,4,9,2710.330754284437,2710.330754284437,73.64997825202649,2646.5480021300104,4
3,L,8,2,2652.7840217363287,2652.7840217363287,0.0,2652.7840217363287,2
5,BASELINE,5,8,2658.186706397792,2658.186706397792,0.0,2658.186706397792,4
5,BASELINE,5,7,2706.325851182938,2706.325851182938,55.58629640052491,2658.186706397792,4
3,T,3,1,2682.0913191137124,2682.0913191137124,24.785281556622362,2664.5654784514068,2
5,T,2,10,2677.1007366765507,2677.1007366765507,0.0,2677.1007366765507,4
5,T,2,9,2759.6165945918497,2759.6165945918497,95.28110555962154,2677.1007366765507,4
4,L,6,4,2683.796576716261,2683.796576716261,0.0,2683.796576716261,4
4,L,6,3,3223.808923523184,3223.808923523184,623.5525475893974,2683.796576716261,4
4,L,1,2,2683.8212703301074,2683.8212703301074,0.0,2683.8212703301074,2
5,BASELINE,6,8,2698.186706397792,2698.186706397792,0.0,2698.186706397792,4
5,BASELINE,6,7,2754.325851182938,2754.325851182938,64.82390070755892,2698.186706397792,4
5,BASELINE,4,6,2698.464995968084,2698.464995968084,0.0,2698.464995968084,4
5,BASELINE,4,5,2823.078253163978,2823.078253163978,143.8909951732905,2698.464995968084,4
5,L,3,8,2702.113506438863,2702.113506438863,0.0,2702.113506438863,4
5,L,3,7,2877.3054189749573,2877.3054189749573,202.29419572511884,2702.113506438863,4
5,BASELINE,1,4,2707.6915103598712,2707.6915103598712,0.0,2707.6915103598712,4
5,BASELINE,1,3,2983.3637137495953,2983.3637137495953,318.31884167030904,2707.6915103598712,4
4,T,10,6,2707.9168098355403,2707.9168098355403,0.0,2707.9168098355403,4
4,T,10,5,2943.6371978780226,2943.6371978780226,272.18645897961994,2707.9168098355403,4
5,L,5,10,2710.5480021300104,2710.5480021300104,0.0,2710.5480021300104,4
5,L,5,9,2778.330754284437,2778.330754284437,78.2687804055435,2710.5480021300104,4
4,T,6,4,2731.3575859205043,2731.3575859205043,0.0,2731.3575859205043,4
4,T,6,3,3305.9056914768057,3305.9056914768057,663.4310068106403,2731.3575859205043,4
5,T,3,10,2733.1007366765507,2733.1007366765507,0.0,2733.1007366765507,4
5,T,3,9,2823.6165945918497,2823.6165945918497,104.51870986665554,2733.1007366765507,4
5,BASELINE,7,8,2738.186706397792,2738.186706397792,0.0,2738.186706397792,4
5,BASELINE,7,7,2802.325851182938,2802.325851182938,74.06150501459294,2738.186706397792,4
4,BASELINE,5,2,2746.5510610486986,2746.5510610486986,0.0,2746.5510610486986,2
3,L,4,1,2817.403098717086,2817.403098717086,92.85592184789398,2751.744046705112,2
4,BASELINE,1,1,2753.268056174097,2753.268056174097,0.0336506520727407,2753.2442615698255,2
5,BASELINE,5,6,2754.464995968084,2754.464995968084,0.0,2754.464995968084,4
5,BASELINE,5,5,2891.078253163978,2891.078253163978,157.74740163384152,2754.464995968084,4
4,T,1,2,2760.4537970331075,2760.4537970331075,0.0,2760.4537970331075,2
5,T,1,8,2770.1324525071486,2770.1324525071486,0.0,2770.1324525071486,4
5,T,1,7,2845.988084106458,2845.988084106458,87.5905386468208,2770.1324525071486,4
5,L,4,8,2774.113506438863,2774.113506438863,0.0,2774.113506438863,4
5,L,4,7,2961.3054189749573,2961.3054189749573,216.15060218566987,2774.113506438863,4
5,L,6,10,2774.5480021300104,2774.5480021300104,0.0,2774.5480021300104,4
5,L,6,9,2846.330754284437,2846.330754284437,82.8875825590605,2774.5480021300104,4
5,BASELINE,8,8,2778.186706397792,2778.186706397792,0.0,2778.186706397792,4
5,BASELINE,8,7,2850.325851182938,2850.325851182938,83.29910932162694,2778.186706397792,4
3,BASELINE,8,1,2786.320945391428,2786.320945391428,0.028946882431266373,2786.300476854566,2
5,BASELINE,2,4,2787.6915103598712,2787.6915103598712,0.0,2787.6915103598712,4
5,BASELINE,2,3,3103.3637137495953,3103.3637137495953,364.50686320547914,2787.6915103598712,4
5,T,4,10,2789.1007366765507,2789.1007366765507,0.0,2789.1007366765507,4
5,T,4,9,2887.6165945918497,2887.6165945918497,113.75631417368956,2789.1007366765507,4
4,L,7,4,2795.796576716261,2795.796576716261,0.0,2795.796576716261,4
4,L,7,3,3387.8089235231846,3387.8089235231846,683.5969755851188,2795.796576716261,4
3,L,9,2,2796.784021736329,2796.784021736329,0.0,2796.784021736329,2
3,T,7,2,2806.144304582883,2806.144304582883,0.0,2806.144304582883,2
5,BASELINE,6,6,2810.464995968084,2810.464995968084,0.0,2810.464995968084,4
5,BASELINE,6,5,2959.078253163978,2959.078253163978,171.60380809439255,2810.464995968084,4
5,BASELINE,9,8,2818.186706397792,2818.186706397792,0.0,2818.186706397792,4
5,BASELINE,9,7,2898.325851182938,2898.325851182938,92.53671362866096,2818.186706397792,4
5,L,7,10,2838.5480021300104,2838.5480021300104,0.0,2838.5480021300104,4
5,L,7,9,2914.330754284437,2914.330754284437,87.50638471257751,2838.5480021300104,4
5,T,2,8,2842.1324525071486,2842.1324525071486,0.0,2842.1324525071486,4
5,T,2,7,2929.988084106458,2929.988084106458,101.44694510737183,2842.1324525071486,4
4,T,7,4,2843.3575859205043,2843.3575859205043,0.0,2843.3575859205043,4
4,T,7,3,3473.905691476806,3473.905691476806,728.0942369598786,2843.3575859205043,4
5,T,5,10,2845.1007366765507,2845.1007366765507,0.0,2845.1007366765507,4
5,T,5,9,2951.6165945918497,2951.6165945918497,122.99391848072358,2845.1007366765507,4
5,L,5,8,2846.113506438863,2846.113506438863,0.0,2846.113506438863,4
5,L,5,7,3045.3054189749573,3045.3054189749573,230.0070086462207,2846.113506438863,4
5,BASELINE,10,8,2858.186706397792,2858.186706397792,0.0,2858.186706397792,4
5,BASELINE,10,7,2946.325851182938,2946.325851182938,101.77431793569497,2858.186706397792,4
5,L,1,6,2860.497331511052,2860.497331511052,0.0,2860.497331511052,4
5,L,1,5,2989.491779430372,2989.491779430372,148.94995846037313,2860.497331511052,4
5,BASELINE,7,6,2866.464995968084,2866.464995968084,0.0,2866.464995968084,4
5,BASELINE,7,5,3027.078253163978,3027.078253163978,185.46021455494355,2866.464995968084,4
5,BASELINE,3,4,2867.6915103598712,2867.6915103598712,0.0,2867.6915103598712,4
5,BASELINE,3,3,3223.3637137495953,3223.3637137495953,410.6948847406491,2867.6915103598712,4
4,BASELINE,6,2,2874.5510610486986,2874.5510610486986,0.0,2874.5510610486986,2
3,T,4,1,2898.091319113713,2898.091319113713,24.78528155662252,2880.565478451407,2
4,L,2,2,2899.8212703301074,2899.8212703301074,0.0,2899.8212703301074,2
5,T,6,10,2901.1007366765507,2901.1007366765507,0.0,2901.1007366765507,4
5,T,6,9,3015.6165945918497,3015.6165945918497,132.2315227877576,2901.1007366765507,4
5,L,8,10,2902.5480021300104,2902.5480021300104,0.0,2902.5480021300104,4
5,L,8,9,2982.330754284437,2982.330754284437,92.12518686609451,2902.5480021300104,4
4,L,8,4,2907.796576716261,2907.796576716261,0.0,2907.796576716261,4
4,L,8,3,3551.8089235231846,3551.8089235231846,743.6414035808402,2907.796576716261,4
5,T,3,8,2914.1324525071486,2914.1324525071486,0.0,2914.1324525071486,4
5,T,3,7,3013.988084106458,3013.988084106458,115.30335156792285,2914.1324525071486,4
5,L,6,8,2918.113506438863,2918.113506438863,0.0,2918.113506438863,4
5,L,6,7,3129.3054189749573,3129.3054189749573,243.86341510677173,2918.113506438863,4
5,T,1,6,2921.8437157057674,2921.8437157057674,0.0,2921.8437157057674,4
5,T,1,5,3069.9210805811144,3069.9210805811144,170.98501294334375,2921.8437157057674,4
5,BASELINE,8,6,2922.464995968084,2922.464995968084,0.0,2922.464995968084,4
5,BASELINE,8,5,3095.078253163978,3095.078253163978,199.31662101549458,2922.464995968084,4
3,BASELINE,9,1,2930.320945391428,2930.320945391428,0.028946882431266373,2930.300476854566,2
3,L,10,2,2940.784021736329,2940.784021736329,0.0,2940.784021736329,2
4,BASELINE,2,1,2945.268056174097,2945.268056174097,0.0336506520727407,2945.2442615698255,2
5,BASELINE,4,4,2947.6915103598712,2947.6915103598712,0.0,2947.6915103598712,4
5,BASELINE,4,3,3343.3637137495957,3343.3637137495957,456.88290627581955,2947.6915103598712,4
4,T,8,4,2955.3575859205043,2955.3575859205043,0.0,2955.3575859205043,4
4,T,8,3,3641.905691476806,3641.905691476806,792.7574671091165,2955.3575859205043,4
5,L,2,6,2956.497331511052,2956.497331511052,0.0,2956.497331511052,4
5,L,2,5,3109.491779430372,3109.491779430372,176.66277138147515,2956.497331511052,4
5,T,7,10,2957.1007366765507,2957.1007366765507,0.0,2957.1007366765507,4
5,T,7,9,3079.6165945918497,3079.6165945918497,141.4691270947916,2957.1007366765507,4
5,L,9,10,2966.5480021300104,2966.5480021300104,0.0,2966.5480021300104,4
5,L,9,9,3050.330754284437,3050.330754284437,96.74398901961152,2966.5480021300104,4
3,L,5,1,3033.403098717086,3033.403098717086,92.85592184789398,2967.744046705112,2
3,T,8,2,2974.144304582883,2974.144304582883,0.0,2974.144304582883,2
5,BASELINE,9,6,2978.464995968084,2978.464995968084,0.0,2978.464995968084,4
5,BASELINE,9,5,3163.078253163978,3163.078253163978,213.17302747604558,2978.464995968084,4
4,T,2,2,2984.4537970331075,2984.4537970331075,0.0,2984.4537970331075,2
5,T,4,8,2986.1324525071486,2986.1324525071486,0.0,2986.1324525071486,4
5,T,4,7,3097.988084106458,3097.988084106458,129.15975802847385,2986.1324525071486,4
5,L,7,8,2990.113506438863,2990.113506438863,0.0,2990.113506438863,4
5,L,7,7,3213.3054189749573,3213.3054189749573,257.71982156732275,2990.113506438863,4
4,BASELINE,7,2,3002.5510610486986,3002.5510610486986,0.0,3002.5510610486986,2
5,T,8,10,3013.1007366765507,3013.1007366765507,0.0,3013.1007366765507,4
5,T,8,9,3143.6165945918497,3143.6165945918497,150.7067314018256,3013.1007366765507,4
5,T,2,6,3017.8437157057674,3017.8437157057674,0.0,3017.8437157057674,4
5,T,2,5,3189.9210805811144,3189.9210805811144,198.69782586444578,3017.8437157057674,4
4,L,9,4,3019.7965767162605,3019.7965767162605,0.0,3019.7965767162605,4
4,L,9,3,3715.8089235231846,3715.8089235231846,803.6858315765617,3019.7965767162605,4
5,BASELINE,5,4,3027.6915103598712,3027.6915103598712,0.0,3027.6915103598712,4
5,BASELINE,5,3,3463.3637137495957,3463.3637137495957,503.07092781098964,3027.6915103598712,4
5,L,10,10,3030.5480021300104,3030.5480021300104,0.0,3030.5480021300104,4
5,L,10,9,3118.330754284437,3118.330754284437,101.36279117312853,3030.5480021300104,4
5,BASELINE,10,6,3034.464995968084,3034.464995968084,0.0,3034.464995968084,4
5,BASELINE,10,5,3231.0782531639775,3231.0782531639775,227.02943393659626,3034.464995968084,4
5,L,3,6,3052.497331511052,3052.497331511052,0.0,3052.497331511052,4
5,L,3,5,3229.491779430372,3229.491779430372,204.37558430257738,3052.497331511052,4
5,T,5,8,3058.1324525071486,3058.1324525071486,0.0,3058.1324525071486,4
5,T,5,7,3181.988084106458,3181.988084106458,143.01616448902487,3058.1324525071486,4
5,L,8,8,3062.113506438863,3062.113506438863,0.0,3062.113506438863,4
5,L,8,7,3297.3054189749573,3297.3054189749573,271.5762280278736,3062.113506438863,4
4,T,9,4,3067.3575859205043,3067.3575859205043,0.0,3067.3575859205043,4
