floors,layout,per_room_occ,responders,exit_combo_id,exit_combo,makespan_s,makespan_hms
1,BASELINE,7,9,3,RLRLRLRLR,233.43171677461777,00:03:53
1,BASELINE,7,10,0,LLLLLRRRRR,233.43171677461777,00:03:53
1,BASELINE,7,10,1,RRRRRLLLLL,233.43171677461777,00:03:53
1,BASELINE,7,10,2,LRLRLRLRLR,233.43171677461777,00:03:53
1,BASELINE,7,10,3,RLRLRLRLRL,233.43171677461777,00:03:53
1,BASELINE,8,1,0,L,759.6098348886976,00:12:40
1,BASELINE,8,1,1,R,759.6098348886976,00:12:40
1,BASELINE,8,2,0,LR,554.2249270037302,00:09:14
1,BASELINE,8,2,1,RL,554.2249270037302,00:09:14
1,BASELINE,8,3,0,LLR,554.2249270037302,00:09:14
1,BASELINE,8,3,1,RRL,350.4317167746178,00:05:50
1,BASELINE,8,3,2,LRL,554.2249270037302,00:09:14
1,BASELINE,8,3,3,RLR,350.4317167746178,00:05:50
1,BASELINE,8,4,0,LLRR,350.4317167746178,00:05:50
1,BASELINE,8,4,1,RRLL,350.4317167746178,00:05:50
1,BASELINE,8,4,2,LRLR,350.4317167746178,00:05:50
1,BASELINE,8,4,3,RLRL,350.4317167746178,00:05:50
1,BASELINE,8,5,0,LLLRR,350.4317167746178,00:05:50
1,BASELINE,8,5,1,RRRLL,338.4264595482829,00:05:38
1,BASELINE,8,5,2,LRLRL,350.4317167746178,00:05:50
1,BASELINE,8,5,3,RLRLR,338.4264595482829,00:05:38
1,BASELINE,8,6,0,LLLRRR,338.4264595482829,00:05:38
1,BASELINE,8,6,1,RRRLLL,338.4264595482829,00:05:38
1,BASELINE,8,6,2,LRLRLR,338.4264595482829,00:05:38
1,BASELINE,8,6,3,RLRLRL,338.4264595482829,00:05:38
1,BASELINE,8,7,0,LLLLRRR,338.4264595482829,00:05:38
1,BASELINE,8,7,1,RRRRLLL,241.43171677461777,00:04:01
1,BASELINE,8,7,2,LRLRLRL,338.4264595482829,00:05:38
1,BASELINE,8,7,3,RLRLRLR,241.43171677461777,00:04:01
1,BASELINE,8,8,0,LLLLRRRR,241.43171677461777,00:04:01
1,BASELINE,8,8,1,RRRRLLLL,241.43171677461777,00:04:01
1,BASELINE,8,8,2,LRLRLRLR,241.43171677461777,00:04:01
1,BASELINE,8,8,3,RLRLRLRL,241.43171677461777,00:04:01
1,BASELINE,8,9,0,LLLLLRRRR,241.43171677461777,00:04:01
1,BASELINE,8,9,1,RRRRRLLLL,241.43171677461777,00:04:01
1,BASELINE,8,9,2,LRLRLRLRL,241.43171677461777,00:04:01
1,BASELINE,8,9,3,RLRLRLRLR,241.43171677461777,00:04:01
1,BASELINE,8,10,0,LLLLLRRRRR,241.43171677461777,00:04:01
1,BASELINE,8,10,1,RRRRRLLLLL,241.43171677461777,00:04:01
1,BASELINE,8,10,2,LRLRLRLRLR,241.43171677461777,00:04:01
1,BASELINE,8,10,3,RLRLRLRLRL,241.43171677461777,00:04:01
1,BASELINE,9,1,0,L,807.6098348886976,00:13:28
1,BASELINE,9,1,1,R,807.6098348886976,00:13:28
1,BASELINE,9,2,0,LR,586.2249270037302,00:09:46
1,BASELINE,9,2,1,RL,586.2249270037302,00:09:46
1,BASELINE,9,3,0,LLR,586.2249270037302,00:09:46
1,BASELINE,9,3,1,RRL,366.4317167746178,00:06:06
1,BASELINE,9,3,2,LRL,586.2249270037302,00:09:46
1,BASELINE,9,3,3,RLR,366.4317167746178,00:06:06
1,BASELINE,9,4,0,LLRR,366.4317167746178,00:06:06
1,BASELINE,9,4,1,RRLL,366.4317167746178,00:06:06
1,BASELINE,9,4,2,LRLR,366.4317167746178,00:06:06
1,BASELINE,9,4,3,RLRL,366.4317167746178,00:06:06
1,BASELINE,9,5,0,LLLRR,366.4317167746178,00:06:06
1,BASELINE,9,5,1,RRRLL,354.4264595482829,00:05:54
1,BASELINE,9,5,2,LRLRL,366.4317167746178,00:06:06
1,BASELINE,9,5,3,RLRLR,354.4264595482829,00:05:54
1,BASELINE,9,6,0,LLLRRR,354.4264595482829,00:05:54
1,BASELINE,9,6,1,RRRLLL,354.4264595482829,00:05:54
